transaction_id,account_id,customer_name,date,transaction_type,amount,channel,balance
TXN1052,ACC101,Anita,2023-01-03 04:00:00,Credit,7092.01,ATM,272329.42000000004
TXN1053,ACC101,Anita,2023-01-03 05:00:00,Credit,6647.33,NetBanking,278976.75000000006
TXN1054,ACC102,Ravi,2023-01-03 06:00:00,Debit,528.57,Card,279505.32000000007
TXN1055,ACC101,Anita,2023-01-03 07:00:00,Debit,3678.73,UPI,283184.05000000005
TXN1056,ACC103,Anita,2023-01-03 08:00:00,Credit,7759.91,ATM,290943.96
TXN1057,ACC101,Anita,2023-01-03 09:00:00,Debit,877.38,ATM,291821.34
TXN1058,ACC101,Ravi,2023-01-03 10:00:00,Debit,8855.4,Card,300676.74000000005
TXN1059,ACC102,Rahul,2023-01-03 11:00:00,Debit,9315.6,NetBanking,309992.34
TXN1060,ACC102,Ravi,2023-01-03 12:00:00,Debit,8545.55,Card,318537.89
TXN1061,ACC103,Rahul,2023-01-03 13:00:00,Credit,1262.04,UPI,319799.93
TXN1062,ACC101,Ravi,2023-01-03 14:00:00,Credit,5695.22,UPI,325495.14999999997
TXN1063,ACC101,Anita,2023-01-03 15:00:00,Debit,7104.84,Card,332599.99
TXN1064,ACC102,Priya,2023-01-03 16:00:00,Debit,8891.0,ATM,341490.99
TXN1065,ACC103,Priya,2023-01-03 17:00:00,Debit,1048.18,ATM,342539.17
TXN1066,ACC103,Rahul,2023-01-03 18:00:00,Credit,8176.13,UPI,350715.3
TXN1067,ACC102,Ravi,2023-01-03 19:00:00,Debit,2852.36,Card,353567.66
TXN1068,ACC101,Rahul,2023-01-03 20:00:00,Credit,5963.65,UPI,359531.31
TXN1069,ACC103,Anita,2023-01-03 21:00:00,Debit,7225.98,NetBanking,366757.29
TXN1070,ACC102,Ravi,2023-01-03 22:00:00,Debit,7792.49,UPI,374549.77999999997
TXN1071,ACC103,Anita,2023-01-03 23:00:00,Credit,3017.18,UPI,377566.95999999996
TXN1072,ACC102,Rahul,2023-01-04 00:00:00,Credit,6113.03,UPI,383679.99
TXN1073,ACC101,Anita,2023-01-04 01:00:00,Credit,2945.98,NetBanking,386625.97
TXN1074,ACC102,Priya,2023-01-04 02:00:00,Credit,9983.34,UPI,396609.31
TXN1075,ACC102,Rahul,2023-01-04 03:00:00,Debit,8163.61,Card,404772.92
TXN1076,ACC103,Priya,2023-01-04 04:00:00,Debit,4198.38,ATM,408971.3
TXN1077,ACC101,Rahul,2023-01-04 05:00:00,Debit,8803.51,NetBanking,417774.81
TXN1078,ACC101,Ravi,2023-01-04 06:00:00,Debit,7351.76,UPI,425126.57
TXN1079,ACC103,Anita,2023-01-04 07:00:00,Credit,9294.59,NetBanking,434421.16000000003
TXN1080,ACC103,Ravi,2023-01-04 08:00:00,Debit,1798.95,Card,436220.11000000004
TXN1081,ACC102,Priya,2023-01-04 09:00:00,Credit,3018.87,UPI,439238.98000000004
TXN1082,ACC101,Priya,2023-01-04 10:00:00,Debit,1027.99,ATM,440266.97000000003
TXN1083,ACC103,Rahul,2023-01-04 11:00:00,Credit,3248.01,UPI,443514.98000000004
TXN1084,ACC103,Rahul,2023-01-04 12:00:00,Debit,3873.77,ATM,447388.75000000006
TXN1085,ACC103,Priya,2023-01-04 13:00:00,Debit,6363.85,Card,453752.60000000003
TXN1086,ACC101,Rahul,2023-01-04 14:00:00,Debit,4768.05,UPI,458520.65
TXN1087,ACC101,Ravi,2023-01-04 15:00:00,Credit,7204.92,NetBanking,465725.57
TXN1088,ACC102,Rahul,2023-01-04 16:00:00,Debit,2765.31,NetBanking,468490.88
TXN1089,ACC102,Ravi,2023-01-04 17:00:00,Debit,1813.26,UPI,470304.14
TXN1090,ACC102,Anita,2023-01-04 18:00:00,Credit,3853.31,ATM,474157.45
TXN1091,ACC101,Ravi,2023-01-04 19:00:00,Credit,4437.01,UPI,478594.46
TXN1092,ACC101,Priya,2023-01-04 20:00:00,Credit,4279.05,Card,482873.51
TXN1093,ACC102,Priya,2023-01-04 21:00:00,Debit,9144.34,ATM,492017.85000000003
TXN1094,ACC102,Ravi,2023-01-04 22:00:00,Debit,2768.71,Card,494786.56000000006
TXN1095,ACC103,Anita,2023-01-04 23:00:00,Debit,3585.23,UPI,498371.79000000004
TXN1096,ACC101,Rahul,2023-01-05 00:00:00,Debit,2230.58,NetBanking,500602.37000000005
TXN1097,ACC102,Rahul,2023-01-05 01:00:00,Credit,3782.04,ATM,504384.41000000003
TXN1098,ACC103,Priya,2023-01-05 02:00:00,Debit,3959.57,ATM,508343.98000000004
TXN1099,ACC103,Rahul,2023-01-05 03:00:00,Credit,5796.73,NetBanking,514140.71
TXN1100,ACC101,Ravi,2023-01-05 04:00:00,Credit,2855.81,NetBanking,516996.52
TXN1101,ACC102,Rahul,2023-01-05 05:00:00,Credit,2668.97,ATM,519665.49
TXN1102,ACC102,Anita,2023-01-05 06:00:00,Debit,7218.71,UPI,526884.2
TXN1103,ACC101,Ravi,2023-01-05 07:00:00,Credit,9110.77,ATM,535994.97
TXN1104,ACC101,Priya,2023-01-05 08:00:00,Credit,1308.76,Card,537303.73
TXN1105,ACC101,Priya,2023-01-05 09:00:00,Debit,1904.66,NetBanking,539208.39
TXN1106,ACC103,Anita,2023-01-05 10:00:00,Debit,1417.79,NetBanking,540626.18
TXN1107,ACC101,Rahul,2023-01-05 11:00:00,Credit,6867.72,ATM,547493.9
TXN1108,ACC102,Priya,2023-01-05 12:00:00,Credit,2218.7,Card,549712.6
TXN1109,ACC101,Rahul,2023-01-05 13:00:00,Credit,6085.26,ATM,555797.86
TXN1110,ACC102,Anita,2023-01-05 14:00:00,Debit,2096.62,UPI,557894.48
TXN1111,ACC101,Rahul,2023-01-05 15:00:00,Debit,8195.8,UPI,566090.28
TXN1112,ACC101,Anita,2023-01-05 16:00:00,Debit,3229.46,Card,569319.74
TXN1113,ACC103,Ravi,2023-01-05 17:00:00,Debit,6729.21,Card,576048.95
TXN1114,ACC101,Priya,2023-01-05 18:00:00,Credit,1572.46,ATM,577621.4099999999
TXN1115,ACC102,Priya,2023-01-05 19:00:00,Debit,3128.86,NetBanking,580750.2699999999
TXN1116,ACC103,Rahul,2023-01-05 20:00:00,Credit,3042.69,ATM,583792.9599999998
TXN1117,ACC101,Anita,2023-01-05 21:00:00,Debit,6387.29,ATM,590180.2499999999
TXN1118,ACC102,Rahul,2023-01-05 22:00:00,Credit,6840.72,NetBanking,597020.9699999999
TXN1119,ACC102,Ravi,2023-01-05 23:00:00,Debit,8467.96,Card,605488.9299999998
TXN1120,ACC101,Ravi,2023-01-06 00:00:00,Debit,1915.13,NetBanking,607404.0599999998
TXN1121,ACC103,Rahul,2023-01-06 01:00:00,Credit,7628.25,UPI,615032.3099999998
TXN1122,ACC101,Priya,2023-01-06 02:00:00,Credit,7148.2,Card,622180.5099999998
TXN1123,ACC101,Rahul,2023-01-06 03:00:00,Credit,5619.68,ATM,627800.1899999998
TXN1124,ACC101,Anita,2023-01-06 04:00:00,Debit,6536.61,ATM,634336.7999999998
TXN1125,ACC101,Ravi,2023-01-06 05:00:00,Credit,990.95,NetBanking,635327.7499999998
TXN1126,ACC102,Rahul,2023-01-06 06:00:00,Debit,1554.07,UPI,636881.8199999997
TXN1127,ACC103,Priya,2023-01-06 07:00:00,Debit,4214.16,Card,641095.9799999997
TXN1128,ACC101,Rahul,2023-01-06 08:00:00,Credit,7142.57,UPI,648238.5499999997
TXN1129,ACC102,Anita,2023-01-06 09:00:00,Debit,1761.43,UPI,649999.9799999997
TXN1130,ACC101,Priya,2023-01-06 10:00:00,Credit,3950.89,NetBanking,653950.8699999998
TXN1131,ACC103,Rahul,2023-01-06 11:00:00,Credit,5029.66,UPI,658980.5299999998
TXN1132,ACC102,Rahul,2023-01-06 12:00:00,Credit,9356.95,Card,668337.4799999997
TXN1133,ACC103,Priya,2023-01-06 13:00:00,Credit,646.44,Card,668983.9199999997
TXN1134,ACC101,Rahul,2023-01-06 14:00:00,Credit,8307.17,Card,677291.0899999997
TXN1135,ACC101,Ravi,2023-01-06 15:00:00,Debit,9843.18,NetBanking,687134.2699999998
TXN1136,ACC103,Anita,2023-01-06 16:00:00,Credit,2746.0,NetBanking,689880.2699999998
TXN1137,ACC103,Rahul,2023-01-06 17:00:00,Debit,8911.57,UPI,698791.8399999997
TXN1138,ACC103,Rahul,2023-01-06 18:00:00,Credit,2973.97,UPI,701765.8099999997
TXN1139,ACC101,Rahul,2023-01-06 19:00:00,Credit,8010.17,UPI,709775.9799999997
TXN1140,ACC102,Rahul,2023-01-06 20:00:00,Credit,4652.59,UPI,714428.5699999997
TXN1141,ACC103,Priya,2023-01-06 21:00:00,Debit,6016.33,UPI,720444.8999999997
TXN1142,ACC103,Anita,2023-01-06 22:00:00,Debit,2443.01,UPI,722887.9099999997
TXN1143,ACC103,Ravi,2023-01-06 23:00:00,Debit,6907.39,NetBanking,729795.2999999997
TXN1144,ACC103,Ravi,2023-01-07 00:00:00,Debit,1571.98,NetBanking,731367.2799999997
TXN1145,ACC101,Priya,2023-01-07 01:00:00,Credit,5640.9,ATM,737008.1799999997
TXN1146,ACC103,Anita,2023-01-07 02:00:00,Credit,4993.86,NetBanking,742002.0399999997
TXN1147,ACC102,Ravi,2023-01-07 03:00:00,Credit,8388.34,UPI,750390.3799999997
TXN1148,ACC102,Ravi,2023-01-07 04:00:00,Credit,4866.54,Card,755256.9199999997
TXN1149,ACC103,Anita,2023-01-07 05:00:00,Debit,7868.84,Card,763125.7599999997
TXN1150,ACC101,Rahul,2023-01-07 06:00:00,Credit,4062.91,ATM,767188.6699999997
TXN1151,ACC103,Anita,2023-01-07 07:00:00,Credit,3148.27,Card,770336.9399999997
TXN1152,ACC101,Priya,2023-01-07 08:00:00,Debit,7893.55,Card,778230.4899999998
TXN1153,ACC103,Rahul,2023-01-07 09:00:00,Debit,4242.8,ATM,782473.2899999998
TXN1154,ACC102,Ravi,2023-01-07 10:00:00,Credit,5017.98,UPI,787491.2699999998
TXN1155,ACC102,Priya,2023-01-07 11:00:00,Credit,5815.49,Card,793306.7599999998
TXN1156,ACC102,Ravi,2023-01-07 12:00:00,Debit,8214.69,NetBanking,801521.4499999997
TXN1157,ACC103,Priya,2023-01-07 13:00:00,Debit,5855.07,Card,807376.5199999997
TXN1158,ACC102,Priya,2023-01-07 14:00:00,Debit,4120.81,UPI,811497.3299999997
TXN1159,ACC102,Anita,2023-01-07 15:00:00,Credit,1689.81,UPI,813187.1399999998
TXN1160,ACC101,Ravi,2023-01-07 16:00:00,Credit,7050.9,Card,820238.0399999998
TXN1161,ACC103,Rahul,2023-01-07 17:00:00,Credit,8844.0,UPI,829082.0399999998
TXN1162,ACC101,Rahul,2023-01-07 18:00:00,Credit,1172.95,ATM,830254.9899999998
TXN1163,ACC102,Rahul,2023-01-07 19:00:00,Credit,4715.52,Card,834970.5099999998
TXN1164,ACC101,Anita,2023-01-07 20:00:00,Debit,9351.9,Card,844322.4099999998
TXN1165,ACC102,Anita,2023-01-07 21:00:00,Credit,5678.74,UPI,850001.1499999998
TXN1166,ACC102,Rahul,2023-01-07 22:00:00,Credit,5498.01,ATM,855499.1599999998
TXN1167,ACC101,Priya,2023-01-07 23:00:00,Debit,728.41,ATM,856227.5699999998
TXN1168,ACC102,Anita,2023-01-08 00:00:00,Debit,5399.47,UPI,861627.0399999998
TXN1169,ACC102,Rahul,2023-01-08 01:00:00,Credit,6579.96,UPI,868206.9999999998
TXN1170,ACC102,Priya,2023-01-08 02:00:00,Credit,1551.26,ATM,869758.2599999998
TXN1171,ACC103,Rahul,2023-01-08 03:00:00,Credit,9568.01,NetBanking,879326.2699999998
TXN1172,ACC102,Ravi,2023-01-08 04:00:00,Credit,2041.89,Card,881368.1599999998
TXN1173,ACC101,Priya,2023-01-08 05:00:00,Credit,6771.87,NetBanking,888140.0299999998
TXN1174,ACC101,Priya,2023-01-08 06:00:00,Credit,2815.98,Card,890956.0099999998
TXN1175,ACC103,Anita,2023-01-08 07:00:00,Debit,1173.47,UPI,892129.4799999997
TXN1176,ACC102,Priya,2023-01-08 08:00:00,Credit,2682.92,NetBanking,894812.3999999998
TXN1177,ACC101,Anita,2023-01-08 09:00:00,Credit,3408.1,NetBanking,898220.4999999998
TXN1178,ACC101,Priya,2023-01-08 10:00:00,Credit,4700.85,NetBanking,902921.3499999997
TXN1179,ACC102,Anita,2023-01-08 11:00:00,Debit,2420.13,ATM,905341.4799999997
TXN1180,ACC103,Ravi,2023-01-08 12:00:00,Debit,7302.29,NetBanking,912643.7699999998
TXN1181,ACC102,Ravi,2023-01-08 13:00:00,Credit,8091.19,Card,920734.9599999997
TXN1182,ACC102,Anita,2023-01-08 14:00:00,Credit,7930.66,ATM,928665.6199999998
TXN1183,ACC101,Ravi,2023-01-08 15:00:00,Credit,7185.91,NetBanking,935851.5299999998
TXN1184,ACC102,Priya,2023-01-08 16:00:00,Credit,2769.47,UPI,938620.9999999998
TXN1185,ACC101,Anita,2023-01-08 17:00:00,Debit,2183.53,ATM,940804.5299999998
TXN1186,ACC102,Rahul,2023-01-08 18:00:00,Debit,1180.37,NetBanking,941984.8999999998
TXN1187,ACC101,Priya,2023-01-08 19:00:00,Credit,4027.14,UPI,946012.0399999998
TXN1188,ACC102,Rahul,2023-01-08 20:00:00,Debit,963.94,ATM,946975.9799999997
TXN1189,ACC102,Ravi,2023-01-08 21:00:00,Debit,6588.36,UPI,953564.3399999997
TXN1190,ACC102,Ravi,2023-01-08 22:00:00,Credit,9503.31,Card,963067.6499999998
TXN1191,ACC102,Ravi,2023-01-08 23:00:00,Credit,7580.77,UPI,970648.4199999998
TXN1192,ACC101,Anita,2023-01-09 00:00:00,Debit,1257.23,UPI,971905.6499999998
TXN1193,ACC103,Rahul,2023-01-09 01:00:00,Debit,302.76,Card,972208.4099999998
TXN1194,ACC102,Anita,2023-01-09 02:00:00,Debit,3415.4,Card,975623.8099999998
TXN1195,ACC101,Anita,2023-01-09 03:00:00,Debit,9929.47,Card,985553.2799999998
TXN1196,ACC101,Priya,2023-01-09 04:00:00,Debit,3197.03,UPI,988750.3099999998
TXN1197,ACC103,Ravi,2023-01-09 05:00:00,Debit,7401.33,NetBanking,996151.6399999998
TXN1198,ACC102,Priya,2023-01-09 06:00:00,Credit,7193.64,Card,1003345.2799999998
TXN1199,ACC101,Ravi,2023-01-09 07:00:00,Credit,5768.32,NetBanking,1009113.5999999997
TXN1200,ACC103,Rahul,2023-01-09 08:00:00,Credit,3739.7,NetBanking,1012853.2999999997
TXN1201,ACC103,Ravi,2023-01-09 09:00:00,Debit,2161.83,NetBanking,1015015.1299999997
TXN1202,ACC103,Ravi,2023-01-09 10:00:00,Credit,9801.99,ATM,1024817.1199999996
TXN1203,ACC101,Anita,2023-01-09 11:00:00,Credit,752.35,Card,1025569.4699999996
TXN1204,ACC102,Ravi,2023-01-09 12:00:00,Credit,2438.65,Card,1028008.1199999996
TXN1205,ACC102,Ravi,2023-01-09 13:00:00,Debit,3158.1,NetBanking,1031166.2199999996
TXN1206,ACC102,Ravi,2023-01-09 14:00:00,Debit,9104.08,Card,1040270.2999999996
TXN1207,ACC102,Ravi,2023-01-09 15:00:00,Debit,7162.36,NetBanking,1047432.6599999996
TXN1208,ACC103,Rahul,2023-01-09 16:00:00,Credit,2727.18,ATM,1050159.8399999996
TXN1209,ACC101,Rahul,2023-01-09 17:00:00,Credit,1728.56,ATM,1051888.3999999997
TXN1210,ACC101,Priya,2023-01-09 18:00:00,Credit,8816.92,ATM,1060705.3199999996
TXN1211,ACC103,Ravi,2023-01-09 19:00:00,Debit,7958.45,Card,1068663.7699999996
TXN1212,ACC101,Anita,2023-01-09 20:00:00,Credit,480.04,UPI,1069143.8099999996
TXN1213,ACC102,Rahul,2023-01-09 21:00:00,Credit,8805.08,NetBanking,1077948.8899999997
TXN1214,ACC101,Priya,2023-01-09 22:00:00,Debit,5920.6,NetBanking,1083869.4899999998
TXN1215,ACC103,Rahul,2023-01-09 23:00:00,Debit,4629.62,NetBanking,1088499.1099999999
TXN1216,ACC101,Anita,2023-01-10 00:00:00,Credit,6771.13,Card,1095270.2399999998
TXN1217,ACC103,Ravi,2023-01-10 01:00:00,Debit,490.48,Card,1095760.7199999997
TXN1218,ACC103,Anita,2023-01-10 02:00:00,Debit,3370.18,ATM,1099130.8999999997
TXN1219,ACC101,Anita,2023-01-10 03:00:00,Credit,971.68,Card,1100102.5799999996
TXN1220,ACC102,Rahul,2023-01-10 04:00:00,Credit,6868.01,UPI,1106970.5899999996
TXN1221,ACC101,Priya,2023-01-10 05:00:00,Debit,4040.32,Card,1111010.9099999997
TXN1222,ACC101,Priya,2023-01-10 06:00:00,Debit,4841.65,Card,1115852.5599999996
TXN1223,ACC101,Ravi,2023-01-10 07:00:00,Credit,2969.05,UPI,1118821.6099999996
TXN1224,ACC102,Rahul,2023-01-10 08:00:00,Credit,7904.12,ATM,1126725.7299999997
TXN1225,ACC103,Rahul,2023-01-10 09:00:00,Credit,560.48,UPI,1127286.2099999997
TXN1226,ACC102,Ravi,2023-01-10 10:00:00,Credit,2883.14,ATM,1130169.3499999996
TXN1227,ACC101,Anita,2023-01-10 11:00:00,Debit,5946.9,ATM,1136116.2499999995
TXN1228,ACC101,Anita,2023-01-10 12:00:00,Credit,7922.32,ATM,1144038.5699999996
TXN1229,ACC101,Rahul,2023-01-10 13:00:00,Credit,6055.83,Card,1150094.3999999997
TXN1230,ACC102,Priya,2023-01-10 14:00:00,Credit,7331.84,NetBanking,1157426.2399999998
TXN1231,ACC103,Rahul,2023-01-10 15:00:00,Credit,332.93,NetBanking,1157759.1699999997
TXN1232,ACC101,Rahul,2023-01-10 16:00:00,Debit,2623.74,UPI,1160382.9099999997
TXN1233,ACC101,Anita,2023-01-10 17:00:00,Debit,516.71,UPI,1160899.6199999996
TXN1234,ACC103,Rahul,2023-01-10 18:00:00,Credit,5050.12,UPI,1165949.7399999998
TXN1235,ACC103,Ravi,2023-01-10 19:00:00,Debit,9892.49,Card,1175842.2299999997
TXN1236,ACC103,Priya,2023-01-10 20:00:00,Credit,233.95,ATM,1176076.1799999997
TXN1237,ACC103,Anita,2023-01-10 21:00:00,Credit,4464.7,NetBanking,1180540.8799999997
TXN1238,ACC102,Anita,2023-01-10 22:00:00,Credit,147.39,Card,1180688.2699999996
TXN1239,ACC103,Anita,2023-01-10 23:00:00,Credit,6167.6,NetBanking,1186855.8699999996
TXN1240,ACC101,Anita,2023-01-11 00:00:00,Debit,1915.25,UPI,1188771.1199999996
TXN1241,ACC103,Priya,2023-01-11 01:00:00,Credit,7156.14,UPI,1195927.2599999995
TXN1242,ACC101,Priya,2023-01-11 02:00:00,Credit,1680.52,Card,1197607.7799999996
TXN1243,ACC101,Anita,2023-01-11 03:00:00,Debit,8302.9,NetBanking,1205910.6799999995
TXN1244,ACC101,Rahul,2023-01-11 04:00:00,Debit,2141.16,UPI,1208051.8399999994
TXN1245,ACC101,Ravi,2023-01-11 05:00:00,Debit,3586.94,ATM,1211638.7799999993
TXN1246,ACC102,Anita,2023-01-11 06:00:00,Debit,2382.73,ATM,1214021.5099999993
TXN1247,ACC103,Ravi,2023-01-11 07:00:00,Credit,8096.08,Card,1222117.5899999994
TXN1248,ACC103,Ravi,2023-01-11 08:00:00,Credit,4953.67,ATM,1227071.2599999993
TXN1249,ACC102,Ravi,2023-01-11 09:00:00,Debit,8750.95,NetBanking,1235822.2099999993
TXN1250,ACC102,Anita,2023-01-11 10:00:00,Credit,1387.85,ATM,1237210.0599999994
TXN1251,ACC101,Rahul,2023-01-11 11:00:00,Credit,5039.69,ATM,1242249.7499999993
TXN1252,ACC103,Priya,2023-01-11 12:00:00,Credit,7788.47,UPI,1250038.2199999993
TXN1253,ACC103,Rahul,2023-01-11 13:00:00,Credit,9813.98,NetBanking,1259852.1999999993
TXN1254,ACC103,Anita,2023-01-11 14:00:00,Credit,6766.44,NetBanking,1266618.6399999992
TXN1255,ACC101,Anita,2023-01-11 15:00:00,Debit,1911.71,Card,1268530.3499999992
TXN1256,ACC103,Rahul,2023-01-11 16:00:00,Credit,7621.75,UPI,1276152.0999999992
TXN1257,ACC103,Priya,2023-01-11 17:00:00,Debit,838.89,NetBanking,1276990.989999999
TXN1258,ACC102,Priya,2023-01-11 18:00:00,Debit,7651.45,UPI,1284642.439999999
TXN1259,ACC101,Anita,2023-01-11 19:00:00,Debit,8295.37,UPI,1292937.8099999991
TXN1260,ACC101,Priya,2023-01-11 20:00:00,Debit,5636.18,ATM,1298573.989999999
TXN1261,ACC101,Priya,2023-01-11 21:00:00,Credit,4977.94,Card,1303551.929999999
TXN1262,ACC101,Rahul,2023-01-11 22:00:00,Debit,9371.62,Card,1312923.549999999
TXN1263,ACC103,Priya,2023-01-11 23:00:00,Debit,100.96,UPI,1313024.509999999
TXN1264,ACC102,Rahul,2023-01-12 00:00:00,Debit,194.71,NetBanking,1313219.219999999
TXN1265,ACC102,Rahul,2023-01-12 01:00:00,Credit,2594.32,NetBanking,1315813.539999999
TXN1266,ACC101,Rahul,2023-01-12 02:00:00,Credit,5106.2,UPI,1320919.739999999
TXN1267,ACC103,Anita,2023-01-12 03:00:00,Credit,5450.12,NetBanking,1326369.8599999992
TXN1268,ACC103,Priya,2023-01-12 04:00:00,Credit,3775.79,NetBanking,1330145.6499999992
TXN1269,ACC102,Priya,2023-01-12 05:00:00,Credit,2997.84,NetBanking,1333143.4899999993
TXN1270,ACC103,Rahul,2023-01-12 06:00:00,Credit,2103.44,ATM,1335246.9299999992
TXN1271,ACC102,Priya,2023-01-12 07:00:00,Debit,8022.79,ATM,1343269.7199999993
TXN1272,ACC103,Anita,2023-01-12 08:00:00,Credit,3227.64,Card,1346497.3599999992
TXN1273,ACC102,Anita,2023-01-12 09:00:00,Credit,4975.43,UPI,1351472.789999999
TXN1274,ACC103,Ravi,2023-01-12 10:00:00,Debit,8131.78,UPI,1359604.5699999991
TXN1275,ACC101,Anita,2023-01-12 11:00:00,Credit,6162.35,Card,1365766.9199999992
TXN1276,ACC101,Rahul,2023-01-12 12:00:00,Debit,4145.22,ATM,1369912.1399999992
TXN1277,ACC103,Ravi,2023-01-12 13:00:00,Debit,1851.35,ATM,1371763.4899999993
TXN1278,ACC103,Ravi,2023-01-12 14:00:00,Debit,4036.76,UPI,1375800.2499999993
TXN1279,ACC101,Priya,2023-01-12 15:00:00,Credit,4903.61,NetBanking,1380703.8599999994
TXN1280,ACC102,Anita,2023-01-12 16:00:00,Credit,9906.79,Card,1390610.6499999994
TXN1281,ACC103,Rahul,2023-01-12 17:00:00,Debit,2913.53,Card,1393524.1799999995
TXN1282,ACC101,Anita,2023-01-12 18:00:00,Debit,1739.83,NetBanking,1395264.0099999995
